ticker,company_name,sector,as_of_date,close,cycle_phase,cycle_confidence,transition_risk,pending_phase,dwell_progress,composite_score,zigzag_score,stc_score,trend_score,candlestick_score,harmonic_pattern,gann_score,pe_ratio,pe_percentile_vs_universe,pb_ratio,dividend_yield_percent,earnings_quarterly_growth_percent
RVHL.NS,RVHL.NS,Unknown,2026-09-22,39.650001525878906,CONTRACTION,0.67,low,EXPANSION,2/5,0.327,0.0,0.887,0.094,0.0,,0.0,,,,,
RVNL.NS,RVNL.NS,Unknown,2026-09-22,211.14999389648438,ACCUMULATION,0.67,high,,,-0.297,-1.0,0.875,-0.767,-0.429,,0.0,,,,,
RVTH.NS,RVTH.NS,Unknown,2026-09-22,671.5499877929688,CONTRACTION,0.44,low,,,-0.399,-1.0,-0.962,0.765,-0.111,,0.0,,,,,
S&SPOWER.NS,S&SPOWER.NS,Unknown,2026-09-22,325.45001220703125,ACCUMULATION,0.67,low,CONTRACTION,3/5,-0.708,-1.0,-0.969,-0.154,0.0,,0.0,,,,,
SAATVIKGL.NS,SAATVIKGL.NS,Unknown,2026-09-22,446.75,DISTRIBUTION,0.67,low,EXPANSION,1/5,0.276,0.0,0.457,0.37,0.0,,0.0,,,,,
SADBHAV.NS,SADBHAV.NS,Unknown,2026-09-22,7.679999828338623,EXPANSION,0.44,low,CONTRACTION,3/5,-0.345,-1.0,-0.542,0.508,1.0,,0.0,,,,,
SADBHIN.NS,SADBHIN.NS,Unknown,2026-09-22,2.5799999237060547,CONTRACTION,0.67,low,EXPANSION,1/5,0.353,0.0,0.5,0.559,-1.0,,0.0,,,,,
SADHNANIQ.NS,SADHNANIQ.NS,Unknown,2026-09-22,2.8499999046325684,CONTRACTION,0.67,low,EXPANSION,2/5,0.582,0.0,0.75,0.997,-1.0,,0.0,,,,,
SAFARI.NS,SAFARI.NS,Unknown,2026-09-22,1498.5,ACCUMULATION,0.44,low,CONTRACTION,3/5,-0.323,0.0,-0.875,-0.094,0.0,,0.0,,,,,
SAGARDEEP.NS,SAGARDEEP.NS,Unknown,2026-09-22,23.389999389648438,ACCUMULATION,0.67,low,DISTRIBUTION,2/5,-0.079,0.0,-0.561,0.323,-1.0,,0.0,,,,,
SAGCEM.NS,SAGCEM.NS,Unknown,2026-09-22,151.32000732421875,CONTRACTION,0.67,high,ACCUMULATION,3/5,-0.158,-1.0,0.875,-0.348,0.0,,0.0,,,,,
SAGILITY.NS,SAGILITY.NS,Unknown,2026-09-22,45.61000061035156,ACCUMULATION,0.67,low,DISTRIBUTION,3/5,-0.19,0.0,-0.703,0.132,0.0,,0.0,,,,,
SAHYADRI.NS,SAHYADRI.NS,Unknown,2026-09-22,360.25,EXPANSION,0.67,high,DISTRIBUTION,3/5,-0.012,0.0,-0.938,0.903,0.0,,0.0,,,,,
SAIL.NS,SAIL.NS,Unknown,2026-09-22,174.00999450683594,EXPANSION,0.67,low,CONTRACTION,3/5,-0.786,-1.0,-0.515,-0.844,1.0,,0.0,,,,,
SAILIFE.NS,SAILIFE.NS,Unknown,2026-09-22,1600.5,EXPANSION,0.67,high,DISTRIBUTION,3/5,0.004,0.0,-0.987,1.0,1.0,,0.0,,,,,
SAKAR.NS,SAKAR.NS,Unknown,2026-09-22,1188.4000244140625,EXPANSION,0.67,low,,,0.418,0.0,0.501,0.754,0.0,,0.0,,,,,
SAKHTISUG.NS,SAKHTISUG.NS,Unknown,2026-09-22,18.299999237060547,DISTRIBUTION,0.44,low,CONTRACTION,3/5,-0.196,-1.0,-0.507,0.92,0.0,,0.0,,,,,
SAKSOFT.NS,SAKSOFT.NS,Unknown,2026-09-22,144.36000061035156,CONTRACTION,0.67,low,,,-0.514,-1.0,-0.5,-0.043,0.333,,0.0,,,,,
SAKUMA.NS,SAKUMA.NS,Unknown,2026-09-22,1.5199999809265137,ACCUMULATION,0.44,low,CONTRACTION,3/5,-0.596,-1.0,-0.956,0.167,1.0,,0.0,,,,,
SALASAR.NS,SALASAR.NS,Unknown,2026-09-22,4.960000038146973,CONTRACTION,0.67,low,,,-0.709,-1.0,-0.424,-0.704,1.0,,0.0,,,,,
SALONA.NS,SALONA.NS,Unknown,2026-09-22,271.5,DISTRIBUTION,0.44,low,EXPANSION,1/5,0.377,1.0,0.178,-0.047,1.0,,0.0,,,,,
SALSTEEL.NS,SALSTEEL.NS,Unknown,2026-09-22,80.9800033569336,EXPANSION,0.44,low,CONTRACTION,2/5,-0.168,0.0,-0.46,-0.044,0.0,,0.0,,,,,
SALZERELEC.NS,SALZERELEC.NS,Unknown,2026-09-22,545.9500122070312,ACCUMULATION,0.44,low,,,0.003,-1.0,0.537,0.472,0.0,,0.0,,,,,
SAMBHAAV.NS,SAMBHAAV.NS,Unknown,2026-09-22,5.960000038146973,CONTRACTION,0.44,low,EXPANSION,1/5,0.464,1.0,0.938,-0.547,-1.0,,0.0,,,,,
SAMBHV.NS,SAMBHV.NS,Unknown,2026-09-22,151.94000244140625,EXPANSION,0.67,low,,,0.559,0.0,0.676,1.0,0.0,,0.0,,,,,
SAMHI.NS,SAMHI.NS,Unknown,2026-09-22,159.52000427246094,CONTRACTION,0.67,low,EXPANSION,2/5,0.233,0.0,0.619,0.08,-0.667,,0.0,,,,,
SAMMAANCAP.NS,SAMMAANCAP.NS,Unknown,2026-09-22,142.36000061035156,ACCUMULATION,0.44,low,CONTRACTION,3/5,-0.508,0.0,-0.97,-0.555,1.0,,0.0,,,,,
SAMPANN.NS,SAMPANN.NS,Unknown,2026-09-22,24.100000381469727,CONTRACTION,0.44,medium,ACCUMULATION,3/5,-0.03,0.0,0.695,-0.785,1.0,,0.0,,,,,
SANATHAN.NS,SANATHAN.NS,Unknown,2026-09-22,471.29998779296875,CONTRACTION,0.67,low,EXPANSION,3/5,0.425,0.0,0.515,0.759,-0.429,,0.0,,,,,
SANDESH.NS,SANDESH.NS,Unknown,2026-09-22,1038.699951171875,CONTRACTION,0.67,low,EXPANSION,1/5,0.45,0.0,0.417,0.933,0.143,,0.0,,,,,
SANDHAR.NS,SANDHAR.NS,Unknown,2026-09-22,586.2999877929688,DISTRIBUTION,0.67,low,CONTRACTION,3/5,-0.557,-1.0,-0.504,-0.166,-1.0,,0.0,,,,,
SANDUMA.NS,SANDUMA.NS,Unknown,2026-09-22,183.24000549316406,ACCUMULATION,0.67,low,CONTRACTION,3/5,-0.83,-1.0,-0.51,-0.98,1.0,,0.0,,,,,
SANGAMIND.NS,SANGAMIND.NS,Unknown,2026-09-22,569.2999877929688,DISTRIBUTION,0.44,low,ACCUMULATION,2/5,-0.121,-1.0,0.181,0.456,-1.0,,0.0,,,,,
SANGHVIMOV.NS,SANGHVIMOV.NS,Unknown,2026-09-22,438.79998779296875,EXPANSION,0.44,low,CONTRACTION,2/5,-0.311,-1.0,-0.5,0.568,0.0,,0.0,,,,,
SANGINITA.NS,SANGINITA.NS,Unknown,2026-09-22,73.91999816894531,EXPANSION,0.67,low,,,0.41,0.0,0.509,0.722,-1.0,,0.0,,,,,
SANOFI.NS,SANOFI.NS,Unknown,2026-09-22,3058.800048828125,CONTRACTION,0.67,medium,DISTRIBUTION,1/5,-0.128,0.0,-0.84,0.457,0.0,,0.0,,,,,
SANOFICONR.NS,SANOFICONR.NS,Unknown,2026-09-22,3993.0,ACCUMULATION,0.67,low,CONTRACTION,3/5,-0.682,-1.0,-0.611,-0.435,0.111,,0.0,,,,,
SANSERA.NS,SANSERA.NS,Unknown,2026-09-22,4586.5,DISTRIBUTION,0.67,low,EXPANSION,1/5,0.791,1.0,0.372,1.0,0.0,,0.0,,,,,
SANSTAR.NS,SANSTAR.NS,Unknown,2026-09-22,112.61000061035156,EXPANSION,0.67,low,,,0.38,0.0,0.572,0.568,-1.0,,0.0,,,,,
